Index	Label
0	6
1	9
2	2
3	7
4	1
5	7
6	0
7	5
8	1
9	4
10	1
11	5
12	9
13	0
14	7
15	5
16	6
17	2
18	8
19	9
20	5
21	0
22	4
23	0
24	7
25	4
26	0
27	6
28	1
29	1
30	0
31	8
32	0
33	1
34	0
35	0
36	5
37	0
38	0
39	7
40	1
41	3
42	5
43	3
44	6
45	0
46	6
47	4
48	4
49	5
50	7
51	7
52	7
53	8
54	9
55	6
56	5
57	4
58	8
59	2
60	5
61	3
62	0
63	8
64	4
65	9
66	5
67	0
68	1
69	1
70	0
71	7
72	3
73	4
74	6
75	7
76	2
77	0
78	3
79	3
80	2
81	5
82	2
83	7
84	0
85	4
86	2
87	5
88	5
89	6
90	6
91	9
92	2
93	3
94	6
95	8
96	1
97	1
98	5
99	3
100	0
101	8
102	4
103	0
104	9
105	2
106	9
107	2
108	8
109	1
110	8
111	4
112	5
113	8
114	7
115	6
116	6
117	2
118	1
119	0
120	1
121	8
122	5
123	6
124	9
125	3
126	0
127	8
128	6
129	8
130	8
131	0
132	4
133	7
134	7
135	7
136	0
137	3
138	4
139	0
140	9
141	4
142	4
143	7
144	4
145	8
146	2
147	6
148	5
149	6
150	8
151	2
152	3
153	6
154	6
155	7
156	8
157	6
158	4
159	0
160	3
161	2
162	5
163	0
164	5
165	2
166	3
167	8
168	6
169	2
170	3
171	9
172	2
173	5
174	7
175	9
176	2
177	5
178	8
179	1
180	4
181	9
182	0
183	9
184	4
185	5
186	4
187	1
188	6
189	3
190	1
191	6
192	3
193	1
194	0
195	4
196	0
197	2
198	2
199	2
200	0
201	3
202	0
203	6
204	1
205	9
206	9
207	2
208	5
209	4
210	1
211	5
212	8
213	4
214	6
215	8
216	1
217	1
218	0
219	7
220	6
221	7
222	4
223	2
224	2
225	5
226	6
227	2
228	1
229	6
230	4
231	9
232	4
233	6
234	2
235	8
236	0
237	4
238	3
239	9
240	6
241	4
242	9
243	0
244	8
245	7
246	3
247	0
248	5
249	9
250	6
251	3
252	9
253	3
254	5
255	3
256	5
257	8
258	0
259	2
260	1
261	3
262	5
263	3
264	6
265	0
266	5
267	8
268	4
269	9
270	0
271	4
272	8
273	7
274	8
275	2
276	2
277	2
278	5
279	0
280	1
281	7
282	6
283	7
284	4
285	9
286	2
287	2
288	1
289	4
290	1
291	5
292	9
293	1
294	3
295	4
296	7
297	4
298	8
299	7
300	8
301	3
302	9
303	2
304	3
305	7
306	2
307	3
308	2
309	4
310	5
311	5
312	8
313	7
314	4
315	1
316	9
317	9
318	0
319	3
320	4
321	0
322	1
323	8
324	4
325	5
326	1
327	6
328	9
329	1
330	9
331	0
332	7
333	4
334	0
335	9
336	3
337	0
338	3
339	2
340	4
341	6
342	9
343	1
344	4
345	4
346	1
347	6
348	0
349	1
350	6
351	9
352	0
353	4
354	6
355	5
356	8
357	4
358	7
359	5
360	8
361	9
362	3
363	7
364	7
365	9
366	0
367	8
368	5
369	1
370	5
371	5
372	2
373	4
374	6
375	2
376	1
377	0
378	6
379	0
380	5
381	4
382	3
383	8
384	5
385	2
386	1
387	4
388	8
389	3
390	2
391	7
392	8
393	2
394	8
395	6
396	4
397	3
398	8
399	3
400	9
401	5
402	6
403	1
404	3
405	9
406	6
407	2
408	8
409	5
410	0
411	9
412	6
413	0
414	6
415	7
416	7
417	2
418	5
419	5
420	4
421	1
422	8
423	8
424	5
425	1
426	8
427	4
428	8
429	3
430	3
431	3
432	5
433	6
434	3
435	7
436	1
437	6
438	5
439	8
440	8
441	7
442	0
443	3
444	3
445	2
446	8
447	5
448	9
449	5
450	6
451	8
452	7
453	9
454	4
455	4
456	2
457	9
458	2
459	3
460	2
461	5
462	3
463	6
464	4
465	0
466	8
467	5
468	0
469	9
470	1
471	1
472	2
473	2
474	2
475	0
476	9
477	8
478	3
479	1
480	5
481	1
482	7
483	6
484	0
485	8
486	7
487	0
488	7
489	0
490	2
491	5
492	9
493	1
494	0
495	6
496	3
497	3
498	7
499	2
